users,concurrency,variant,n,mean,std,ci_lower,ci_upper
1000,1,neo4j_normal,1200,136.8747083333333,491.1367882960541,109.05845976154595,164.69095690512066
1000,1,neo4j_optimized,1200,136.82010833333334,494.337819520631,108.82256468785012,164.81765197881657
1000,1,postgres_normal,1200,4.5926,9.451488865507505,4.057301138416942,5.127898861583058
1000,1,postgres_optimized,1200,5.104091666666666,9.473480231573413,4.567547291981149,5.640636041352184
1000,3,neo4j_normal,1200,319.26055,1479.45665670619,235.469363726008,403.05173627399205
1000,3,neo4j_optimized,1200,308.26712499999996,1464.7659073111315,225.3079707517426,391.22627924825736
1000,3,postgres_normal,1200,28.617658333333335,18.532003252582417,27.56807129100355,29.667245375663118
1000,3,postgres_optimized,1200,29.270966666666663,18.811185989480602,28.205567702706137,30.33636563062719
1000,5,neo4j_normal,1200,487.5556666666667,2448.5530643600955,348.8782914373527,626.2330418959807
1000,5,neo4j_optimized,1200,488.10099166666663,2447.694964145319,349.47221619498134,626.7297671383519
1000,5,postgres_normal,1200,50.93463333333334,27.13741261005175,49.39766637678491,52.47160028988176
1000,5,postgres_optimized,1200,51.38214166666666,28.21478595734477,49.784156098710824,52.9801272346225
1000,10,neo4j_normal,1200,937.6622249999999,4959.746108178485,656.759767913268,1218.5646820867319
1000,10,neo4j_optimized,1200,968.7123583333334,4968.489148850272,687.3147263820929,1250.109990284574
1000,10,postgres_normal,1200,106.39216666666665,52.292391747440455,103.43051076565669,109.35382256767662
1000,10,postgres_optimized,1200,106.53005833333334,51.99871109982727,103.58503546427987,109.47508120238682
10000,1,neo4j_normal,1200,147.85503333333332,476.35391861442156,120.87603415411388,174.83403251255277
10000,1,neo4j_optimized,1200,150.12285833333334,475.0336542545963,123.21863425239312,177.02708241427356
10000,1,postgres_normal,1200,12.058208333333335,20.093414243309297,10.920188501451246,13.196228165215423
10000,1,postgres_optimized,1200,8.195525000000002,12.224132794457123,7.503193404224306,8.887856595775697
10000,3,neo4j_normal,1200,327.06126666666665,1459.369514570228,244.4077449946061,409.7147883387272
10000,3,neo4j_optimized,1200,330.2685333333333,1458.499072480749,247.664310418982,412.8727562476846
10000,3,postgres_normal,1200,39.48954166666667,34.61319632750784,37.529172792141104,41.44991054119223
10000,3,postgres_optimized,1200,32.97096666666667,20.020489397830982,31.83707703980531,34.10485629352803
10000,5,neo4j_normal,1200,500.57744999999994,2442.520719722399,362.24172541040895,638.9131745895909
10000,5,neo4j_optimized,1200,504.4772166666666,2452.308632381461,365.5871393631036,643.3672939702296
10000,5,postgres_normal,1200,70.90828333333333,75.56934693191515,66.62830311446469,75.18826355220197
10000,5,postgres_optimized,1200,55.362008333333335,28.841205745263686,53.7285445667447,56.99547209992197
10000,10,neo4j_normal,1200,970.3666166666666,4948.504306386054,690.1008554261934,1250.6323779071397
10000,10,neo4j_optimized,1200,965.3618916666667,4971.123743825906,683.8150455851173,1246.908737748216
10000,10,postgres_normal,1200,134.04558333333335,109.8290160285275,127.82525677045575,140.26590989621096
10000,10,postgres_optimized,1200,112.57372500000002,51.96497678293606,109.63061272320192,115.51683727679813
100000,1,neo4j_normal,1200,308.1147583333333,623.1070784818236,272.82417983274115,343.4053368339255
100000,1,neo4j_optimized,1200,317.107225,550.6604770838693,285.9197654688872,348.29468453111286
100000,1,postgres_normal,1200,55.65558333333333,112.9276032478588,49.25976376246235,62.051402904204316
100000,1,postgres_optimized,1200,45.28756666666667,102.01508951941177,39.50979323212085,51.06534010121249
100000,3,neo4j_normal,1200,490.4556416666667,1487.3678529543693,406.21639325075483,574.6948900825785
100000,3,neo4j_optimized,1200,502.90615833333334,1471.7309588715855,419.55252822796683,586.2597884386998
100000,3,postgres_normal,1200,85.0808,122.777376540571,78.12712414791581,92.03447585208419
100000,3,postgres_optimized,1200,76.07603333333333,116.2457505654981,69.49228564796397,82.65978101870269
100000,5,neo4j_normal,1200,692.0284083333335,2468.062278952601,552.2461002717056,831.8107163949613
100000,5,neo4j_optimized,1200,701.8679666666667,2464.0524774835244,562.3127595615246,841.4231737718088
100000,5,postgres_normal,1200,119.36093333333334,139.72070794142124,111.44764718710819,127.27421947955848
100000,5,postgres_optimized,1200,110.66269166666667,137.04026415195386,102.90121636521495,118.4241669681184
100000,10,neo4j_normal,1200,1204.4976166666668,4954.524515482801,923.8908921005382,1485.1043412327954
100000,10,neo4j_optimized,1200,1217.5594250000001,4966.412495738392,936.2794073275797,1498.8394426724205
100000,10,postgres_normal,1200,192.398325,170.23527270027546,182.75680195802732,202.03984804197268
100000,10,postgres_optimized,1200,174.87468333333334,162.01001458115752,165.6990097855561,184.0503568811106
