users,concurrency,duration_ms_postgres_normal,duration_ms_postgres_optimized,duration_ms_neo4j_normal,duration_ms_neo4j_optimized,server_ms_postgres_normal,server_ms_postgres_optimized,server_ms_neo4j_normal,server_ms_neo4j_optimized,avg_cpu_postgres_normal,avg_cpu_postgres_optimized,avg_cpu_neo4j_normal,avg_cpu_neo4j_optimized,avg_mem_postgres_normal,avg_mem_postgres_optimized,avg_mem_neo4j_normal,avg_mem_neo4j_optimized,disk_mb_postgres_normal,disk_mb_postgres_optimized,disk_mb_neo4j_normal,disk_mb_neo4j_optimized
1000,1,4.6,5.1,136.9,136.8,1.5,1.4,64.6,64.8,131.0,112.8,34.7,34.1,2344.7,5952.2,7003.2,6995.1,443.0,443.0,690.9,690.9
1000,3,28.6,29.3,319.3,308.3,1.5,1.4,78.6,68.7,15.7,15.8,36.7,36.8,2173.7,5474.8,7428.8,7426.6,443.0,443.0,690.9,690.9
1000,5,50.9,51.4,487.6,488.1,1.5,1.4,78.7,80.4,11.5,11.7,38.3,38.3,2143.3,5464.6,7487.3,7485.3,443.0,443.0,690.9,690.9
1000,10,106.4,106.5,937.7,968.7,1.5,1.4,102.5,136.3,8.8,9.1,38.3,40.3,2134.9,5457.8,7687.3,7657.9,443.0,443.0,690.9,690.9
10000,1,12.1,8.2,147.9,150.1,10.8,5.4,76.1,77.7,99.4,98.3,26.4,22.9,2416.7,5912.0,7030.8,7021.6,443.0,443.0,690.9,690.9
10000,3,39.5,33.0,327.1,330.3,10.8,5.3,85.6,87.9,18.7,16.6,28.9,28.6,2260.3,4659.9,7468.3,7463.8,443.0,443.0,690.9,690.9
10000,5,70.9,55.4,500.6,504.5,10.8,5.3,90.7,92.9,14.5,13.4,34.2,33.2,2206.4,4765.3,7527.0,7530.4,443.0,443.0,690.9,690.9
10000,10,134.0,112.6,970.4,965.4,10.9,5.3,130.6,123.8,13.6,11.5,42.6,46.1,2214.1,4900.9,7779.2,7743.5,443.0,443.0,690.9,690.9
100000,1,55.7,45.3,308.1,317.1,62.6,49.5,235.6,245.5,72.6,94.7,18.3,15.3,4043.1,9669.7,7201.8,7147.5,443.0,443.0,690.9,690.9
100000,3,85.1,76.1,490.5,502.9,61.4,49.0,247.8,259.0,21.9,19.4,28.4,25.6,4048.8,8357.2,7790.9,7707.5,443.0,443.0,690.9,690.9
100000,5,119.4,110.7,692.0,701.9,61.8,49.0,275.8,284.7,20.6,16.4,37.3,35.5,4048.1,8112.4,7871.4,7763.9,443.0,443.0,690.9,690.9
100000,10,192.4,174.9,1204.5,1217.6,62.3,49.6,353.4,361.1,23.5,19.0,56.2,58.0,4046.9,8003.1,8020.8,7953.8,443.0,443.0,690.9,690.9
ALL,,75.0,67.4,543.6,549.3,24.8,18.7,151.7,156.9,37.7,36.6,35.0,34.6,2840.1,6394.2,7524.7,7491.4,443.0,443.0,690.9,690.9
